Date,"('BNP.PA', 'Log Return')","('BNP.PA', 'Volume')","('GLE.PA', 'Log Return')","('GLE.PA', 'Volume')","('ACA.PA', 'Log Return')","('ACA.PA', 'Volume')","('HSBA.L', 'Log Return')","('HSBA.L', 'Volume')","('BARC.L', 'Log Return')","('BARC.L', 'Volume')","('DBK.DE', 'Log Return')","('DBK.DE', 'Volume')","('UBSG.SW', 'Log Return')","('UBSG.SW', 'Volume')","('INGA.AS', 'Log Return')","('INGA.AS', 'Volume')","('ISP.MI', 'Log Return')","('ISP.MI', 'Volume')","('SAN.MC', 'Log Return')","('SAN.MC', 'Volume')","('BBVA.MC', 'Log Return')","('BBVA.MC', 'Volume')"
2013-01-03,0.0,1719620.0,-0.009255410188542989,3046422.0,-0.00031510300283085866,4799499.0,-0.0048186089709962325,10831799.0,0.0014503578957574942,30629942.0,0.010917778293885941,4454169.0,0.0,14330374.0,0.0027430125698188826,11470993.0,-0.002184317793757525,145772978.0,-0.003481855969653403,31346019.0,-0.005780231753625017,404850032.0
2013-01-04,-0.0016887153922370425,1969483.0,-0.00831833687574038,3592365.0,0.0007873943050066379,3418203.0,0.0076685313602295035,16019794.0,0.0025333861008619775,33872755.0,0.007356689121660046,4362267.0,-0.008792783487815845,7757864.0,0.012249921402335894,12032064.0,0.007262328983518356,170088318.0,0.0036398377079075446,83958757.0,0.010025279830743979,205290519.0
2013-01-07,0.01841689533852981,4186011.0,0.026910321451429173,5770778.0,0.03480344866132853,14279715.0,-0.002099127082763696,14748401.0,0.03724478879289928,66102672.0,0.02791944685492042,9784774.0,0.018843131639764924,12355593.0,0.026037786657205925,22912160.0,0.01579350269355455,207785897.0,-0.0012644817515880165,99865587.0,0.011953383896930337,67371537.0
2013-01-08,0.010670526898382226,4068024.0,0.03120405503400021,6491202.0,0.008025091420197463,15733262.0,-0.010562600980808835,19186720.0,0.0,53437482.0,0.012362154815585138,6755324.0,0.005982139453482454,9745669.0,-0.015675038834004965,15408519.0,-0.0007123770458517345,203952729.0,0.002843284619025201,204031624.0,0.006057929057652314,56140482.0
2013-01-09,-0.001204341503586857,4651803.0,0.033687054726212584,5842535.0,0.045257946675810845,14875607.0,0.016101246633672035,15561059.0,0.025948618333365998,54663587.0,0.01316515716150857,6242830.0,0.040265205488473545,17255882.0,0.024728637567333053,17515375.0,0.024640457431410488,224820926.0,0.009575078254563213,103882204.0,0.03287198738866742,158238210.0
2013-01-10,-0.0014252595445257885,4345922.0,0.016962590197086447,6940216.0,0.02209463583952411,17366778.0,0.0052113264511304885,17609736.0,-0.0005087644599912938,52001397.0,0.012321649528505932,9423034.0,-0.00510543043305473,11505828.0,0.012203118727470697,21033024.0,0.028788843295940253,315378563.0,0.012575102867476618,109974924.0,0.009298605036751405,534136567.0
2013-01-11,0.0064520494262604545,4009052.0,0.005945558645506294,4725726.0,0.004361222654772524,8090687.0,0.006364546634652649,20561270.0,0.0169965690725562,66831761.0,0.0026878374904107244,5901633.0,0.013977546027448235,11826861.0,0.00206248444012382,15543409.0,0.007404638836632883,226094167.0,0.016675415812226174,59861232.0,0.0076621924795330625,105327702.0
2013-01-14,-0.005136466221901803,3295970.0,0.03714916963625479,6730300.0,0.03000542659980849,15284892.0,-0.002807563994005512,16426576.0,-0.0025063312378137167,48856334.0,-0.00727388783696806,5416878.0,0.010668433524958219,12400916.0,0.00731280779509101,13658915.0,-0.01214584080956665,200485723.0,0.004390870517436851,69434341.0,0.0006464833871625676,67018757.0
2013-01-15,-0.03127139511372338,5905055.0,-0.019222812813670727,5811087.0,0.012723539075303226,19758523.0,0.005607094301871748,22077278.0,-0.011778391928098316,55850651.0,-0.006782325534783454,5897484.0,0.004359910486659679,13252419.0,-0.013253768626693915,14964424.0,0.015493940123794193,210636497.0,-0.005736889622395995,181970138.0,-0.005834829909671857,40515162.0
2013-01-16,-0.00045251544868389685,4863845.0,-0.028776825678657844,8916403.0,-0.022167172899269175,15771149.0,0.005576433310793732,23285208.0,-0.00679364895471111,49792381.0,-0.0021800362145594303,6721371.0,0.0006214440566097658,13941003.0,-0.006628153122005194,14304320.0,-0.02093965083849103,205824925.0,0.00031086518013845197,181307548.0,0.010220663684272721,69160571.0
2013-01-17,0.031504930226595375,4222018.0,0.007348421576053825,4106218.0,0.02418264459537354,11308216.0,0.01120430468749062,18220919.0,0.008991345895022,37473104.0,0.002588356851161091,5625793.0,0.004956475468572736,13548537.0,-0.00903795164215133,15870563.0,0.016920755582992074,154789341.0,0.0026390418843465547,53819154.0,0.0007719511114322215,107054734.0
2013-01-18,0.013281294376125956,4478755.0,0.01393539093276939,3830558.0,0.0012074688225717255,7596309.0,0.004042888955093046,29599202.0,0.0032041088915226216,40897855.0,-0.003953408179484858,5730725.0,-0.009937830011842034,15714421.0,-0.023161204769329282,23022371.0,0.011344860670770902,181657125.0,-0.0013964094280753555,124749609.0,-0.000642929142676841,59926835.0
2013-01-21,0.004639359244857887,1442582.0,0.02128221554150015,1980163.0,0.011728690900637054,4162450.0,0.002302965328763442,14346273.0,0.0013457696557155868,25412138.0,0.0010921011218793539,2451412.0,0.0006238737365703984,5821001.0,0.016692912998624982,9498859.0,-0.0006637485271054083,87112875.0,0.002790871615688839,49204672.0,0.00577447376074692,47154861.0
